title,avg_rating,num_ratings,category
Amityville 3-D (1983),1.1666666666666667,6,Flop
"Amityville Curse, The (1990)",1.25,4,Flop
"Amityville Horror, The (1979)",2.5660377358490565,53,Flop
Amityville II: The Possession (1982),1.6428571428571428,14,Flop
Amityville: A New Generation (1993),1.0,5,Flop
Amityville: Dollhouse (1996),1.0,3,Flop
Amos & Andrew (1993),2.6842105263157894,19,Flop
An Unforgettable Summer (1994),2.5,4,Flop
Anaconda (1997),2.289473684210526,38,Flop
Anastasia (1997),3.4242424242424243,66,Flop
Andre (1994),3.111111111111111,18,Flop
Angel Baby (1995),3.75,4,Flop
Angel and the Badman (1947),3.0,6,Flop
Angel on My Shoulder (1946),2.0,1,Flop
Angela (1995),3.0,1,Flop
Angels and Insects (1995),3.4166666666666665,72,Flop
Angels in the Outfield (1994),2.923076923076923,39,Flop
Angus (1995),2.642857142857143,14,Flop
Anna (1996),4.5,2,Hidden Gem
Anna Karenina (1997),3.090909090909091,33,Flop
Anne Frank Remembered (1995),3.857142857142857,21,Flop
Annie Hall (1977),3.911111111111111,180,Overhyped
Another Stakeout (1993),2.5,28,Flop
Antonia's Line (1995),3.9565217391304346,69,Flop
Aparajito (1956),3.5714285714285716,7,Flop
"Apartment, The (1960)",3.9365079365079363,63,Flop
Apocalypse Now (1979),4.04524886877828,221,Blockbuster
Apollo 13 (1995),3.931159420289855,276,Overhyped
"Apostle, The (1997)",3.6545454545454548,55,Flop
"Apple Dumpling Gang, The (1975)",2.84,25,Flop
April Fool's Day (1986),2.6666666666666665,15,Flop
Apt Pupil (1998),4.1,160,Blockbuster
"Aristocats, The (1970)",3.1296296296296298,54,Flop
Army of Darkness (1993),3.4310344827586206,116,Overhyped
Around the World in 80 Days (1956),3.6610169491525424,59,Flop
"Arrival, The (1996)",3.036144578313253,83,Flop
Arsenic and Old Lace (1944),4.078260869565217,115,Blockbuster
As Good As It Gets (1997),4.196428571428571,112,Blockbuster
Assassins (1995),2.871794871794872,39,Flop
"Assignment, The (1997)",3.5,18,Flop
"Associate, The (1996)",3.2439024390243905,41,Flop
Audrey Rose (1977),2.1666666666666665,12,Flop
August (1996),1.0,1,Flop
Austin Powers: International Man of Mystery (1997),3.246153846153846,130,Overhyped
"Awfully Big Adventure, An (1995)",2.375,8,Flop
Ayn Rand: A Sense of Life (1997),3.142857142857143,7,Flop
B*A*P*S (1997),1.6666666666666667,3,Flop
B. Monkey (1998),3.0,1,Flop
Babe (1995),3.9954337899543377,219,Overhyped
"Baby-Sitters Club, The (1995)",2.5,10,Flop
Babyfever (1994),1.0,2,Flop
"Babysitter, The (1995)",2.3333333333333335,3,Flop
Back to the Future (1985),3.834285714285714,350,Overhyped
Backbeat (1993),3.473684210526316,19,Flop
Bad Boys (1995),3.1052631578947367,57,Flop
Bad Company (1995),2.2222222222222223,9,Flop
Bad Girls (1994),1.8333333333333333,6,Flop
Bad Moon (1996),2.6666666666666665,6,Flop
Bad Taste (1987),3.375,16,Flop
"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,4,Flop
Balto (1995),3.0,16,Flop
Bananas (1971),3.7017543859649122,57,Flop
"Band Wagon, The (1953)",3.6666666666666665,9,Flop
Barb Wire (1996),1.9333333333333333,30,Flop
Barbarella (1968),2.5714285714285716,28,Flop
Barcelona (1994),3.018867924528302,53,Flop
Basic Instinct (1992),3.227722772277228,101,Overhyped
"Basketball Diaries, The (1995)",3.425,40,Flop
Basquiat (1996),3.25,44,Flop
Bastard Out of Carolina (1996),2.875,16,Flop
Batman & Robin (1997),2.4516129032258065,62,Flop
Batman (1989),3.427860696517413,201,Overhyped
Batman Forever (1995),2.6666666666666665,114,Overhyped
Batman Returns (1992),2.683098591549296,142,Overhyped
Baton Rouge (1988),1.0,1,Flop
Bean (1997),2.659340659340659,91,Flop
"Beans of Egypt, Maine, The (1994)",3.5,2,Flop
Beat the Devil (1954),3.7142857142857144,7,Flop
"Beautician and the Beast, The (1997)",2.313953488372093,86,Flop
Beautiful Girls (1996),3.391304347826087,115,Overhyped
Beautiful Thing (1996),3.9655172413793105,29,Flop
Beauty and the Beast (1991),3.792079207920792,202,Overhyped
Beavis and Butt-head Do America (1996),2.7884615384615383,156,Overhyped
Bed of Roses (1996),3.2333333333333334,60,Flop
Bedknobs and Broomsticks (1971),3.0701754385964914,57,Flop
Before Sunrise (1995),3.4081632653061225,49,Flop
Before and After (1996),2.8461538461538463,26,Flop
Before the Rain (Pred dozhdot) (1994),3.8,10,Flop
Being Human (1993),1.75,4,Flop
Being There (1979),3.9051724137931036,116,Overhyped
"Believers, The (1987)",2.25,16,Flop
Belle de jour (1967),3.945945945945946,37,Flop
Ben-Hur (1959),3.8306451612903225,124,Overhyped
Benny & Joon (1993),3.4607843137254903,102,Overhyped
Bent (1997),2.6666666666666665,6,Flop
Best Men (1997),3.4,5,Flop
Best of the Best 3: No Turning Back (1995),1.5,6,Flop
Better Off Dead... (1985),3.569620253164557,79,Flop
"Beverly Hillbillies, The (1993)",2.25,20,Flop
Beverly Hills Cop III (1994),2.392857142857143,28,Flop
Beverly Hills Ninja (1997),2.3125,48,Flop
"Bewegte Mann, Der (1994)",3.6666666666666665,3,Flop
Beyond Bedlam (1993),1.0,2,Flop
Beyond Rangoon (1995),3.0555555555555554,18,Flop
Bhaji on the Beach (1993),2.875,8,Flop
"Big Bang Theory, The (1994)",4.0,1,Hidden Gem
"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059,17,Flop
Big Bully (1996),1.8571428571428572,14,Flop
"Big Green, The (1995)",2.5,14,Flop
"Big Lebowski, The (1998)",3.8333333333333335,42,Flop
Big Night (1996),3.9005847953216373,171,Overhyped
"Big One, The (1997)",3.0,1,Flop
"Big Sleep, The (1946)",4.027397260273973,73,Hidden Gem
"Big Squeeze, The (1996)",2.25,4,Flop
Billy Madison (1995),3.081081081081081,37,Flop
Bio-Dome (1996),1.903225806451613,31,Flop
Bird of Prey (1996),1.0,1,Flop
"Birdcage, The (1996)",3.4436860068259385,293,Overhyped
"Birds, The (1963)",3.808641975308642,162,Overhyped
Bitter Moon (1992),3.3,10,Flop
Bitter Sugar (Azucar Amargo) (1996),4.333333333333333,3,Hidden Gem
Black Beauty (1994),3.4444444444444446,27,Flop
Black Sheep (1996),2.6363636363636362,55,Flop
Blade Runner (1982),4.138181818181818,275,Blockbuster
Blink (1994),3.0,19,Flop
Bliss (1997),2.5714285714285716,7,Flop
"Blob, The (1958)",2.717391304347826,46,Flop
Blood & Wine (1997),2.8636363636363638,22,Flop
Blood Beach (1981),2.1666666666666665,6,Flop
Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,5,Flop
Bloodsport 2 (1995),1.7,10,Flop
"Bloody Child, The (1996)",1.0,1,Flop
Blown Away (1994),2.7586206896551726,29,Flop
"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,18,Flop
Blue Chips (1994),2.6666666666666665,9,Flop
Blue Sky (1994),3.4166666666666665,12,Flop
Blue in the Face (1995),3.1777777777777776,45,Flop
Blues Brothers 2000 (1998),2.8214285714285716,28,Flop
"Blues Brothers, The (1980)",3.8366533864541834,251,Overhyped
Bob Roberts (1992),3.7411764705882353,85,Flop
Body Parts (1991),1.6153846153846154,13,Flop
"Body Snatcher, The (1945)",3.5,22,Flop
Body Snatchers (1993),2.971014492753623,69,Flop
Bogus (1996),2.5454545454545454,22,Flop
"Bonheur, Le (1965)",2.0,4,Flop
Bonnie and Clyde (1967),3.819672131147541,122,Overhyped
Boogie Nights (1997),3.5873015873015874,189,Overhyped
Boomerang (1992),2.8125,32,Flop
"Boot, Das (1981)",4.203980099502488,201,Blockbuster
Booty Call (1997),2.1666666666666665,48,Flop
Bottle Rocket (1996),3.4545454545454546,44,Flop
Bound (1996),3.8217054263565893,129,Overhyped
Boxing Helena (1993),2.2,15,Flop
Boy's Life 2 (1997),3.3333333333333335,6,Flop
Boys (1996),3.3333333333333335,6,Flop
Boys Life (1995),3.2,5,Flop
Boys in Venice (1996),1.0,2,Flop
"Boys of St. Vincent, The (1993)",3.3846153846153846,13,Flop
Boys on the Side (1995),3.1470588235294117,34,Flop
"Boys, Les (1997)",3.3333333333333335,3,Flop
"Brady Bunch Movie, The (1995)",2.8026315789473686,76,Flop
Braindead (1992),3.857142857142857,14,Flop
Bram Stoker's Dracula (1992),3.158333333333333,120,Overhyped
Brassed Off (1996),3.9375,32,Flop
Braveheart (1995),4.151515151515151,297,Blockbuster
Brazil (1985),3.8173076923076925,208,Overhyped
Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665,12,Flop
Breakdown (1997),3.4025974025974026,77,Flop
Breakfast at Tiffany's (1961),3.7263157894736842,95,Flop
Breaking the Waves (1996),3.72972972972973,74,Flop
Bride of Frankenstein (1935),3.608695652173913,46,Flop
"Bridge on the River Kwai, The (1957)",4.175757575757576,165,Blockbuster
"Bridges of Madison County, The (1995)",3.1641791044776117,67,Flop
Bringing Up Baby (1938),3.838235294117647,68,Flop
Broken Arrow (1996),3.031496062992126,254,Overhyped
Broken English (1996),2.25,8,Flop
"Bronx Tale, A (1993)",3.7916666666666665,48,Flop
Brother Minister: The Assassination of Malcolm X (1994),3.0,5,Flop
"Brother's Kiss, A (1997)",2.0,1,Flop
"Brothers McMullen, The (1995)",3.452054794520548,73,Flop
Brothers in Trouble (1995),4.0,1,Hidden Gem
"Browning Version, The (1994)",3.0,10,Flop
Buddy (1997),2.25,4,Flop
Bulletproof (1996),3.204081632653061,49,Flop
Bullets Over Broadway (1994),3.7209302325581395,86,Flop
Burnt By the Sun (1994),3.7083333333333335,24,Flop
Burnt Offerings (1976),2.4444444444444446,9,Flop
Bushwhacked (1995),1.5714285714285714,7,Flop
Butch Cassidy and the Sundance Kid (1969),3.949074074074074,216,Overhyped
"Butcher Boy, The (1998)",4.0,2,Hidden Gem
Butterfly Kiss (1995),1.0,1,Flop
"Bye Bye, Love (1995)",3.1333333333333333,15,Flop
C'est arrivé près de chez vous (1992),3.0,4,Flop
Cabin Boy (1994),2.5625,16,Flop
"Cable Guy, The (1996)",2.339622641509434,106,Overhyped
Calendar Girl (1993),2.0,3,Flop
Canadian Bacon (1994),2.413793103448276,29,Flop
"Candidate, The (1972)",3.641025641025641,39,Flop
Candyman (1992),2.723076923076923,65,Flop
Candyman: Farewell to the Flesh (1995),2.4285714285714284,21,Flop
Cape Fear (1962),3.5232558139534884,86,Flop
Cape Fear (1991),3.456140350877193,171,Overhyped
Captives (1994),2.3333333333333335,3,Flop
Career Girls (1997),3.2564102564102564,39,Flop
Careful (1992),1.0,1,Flop
Carlito's Way (1993),3.4074074074074074,54,Flop
Carmen Miranda: Bananas Is My Business (1994),1.5,2,Flop
Caro Diario (Dear Diary) (1994),2.75,4,Flop
Carpool (1996),2.8,5,Flop
Carrie (1976),3.5041322314049586,121,Overhyped
Carried Away (1996),3.0,11,Flop
Carrington (1995),3.230769230769231,13,Flop
Casablanca (1942),4.45679012345679,243,Blockbuster
Casino (1995),3.6483516483516483,91,Flop
Casper (1995),3.076923076923077,52,Flop
Castle Freak (1995),1.25,4,Flop
Cat People (1982),2.8958333333333335,48,Flop
Cat on a Hot Tin Roof (1958),3.9516129032258065,62,Flop
Cats Don't Dance (1997),2.84375,32,Flop
Catwalk (1995),1.3333333333333333,3,Flop
Caught (1996),3.25,8,Flop
Celestial Clockwork (1994),4.0,2,Hidden Gem
"Celluloid Closet, The (1995)",3.892857142857143,56,Flop
Celtic Pride (1996),2.2,15,Flop
"Cement Garden, The (1993)",3.6,10,Flop
Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304,23,Flop
Century (1993),3.0,1,Flop
Chain Reaction (1996),2.7,80,Flop
Chairman of the Board (1998),2.2222222222222223,9,Flop
"Chamber, The (1996)",3.0930232558139537,43,Flop
Charade (1963),3.925,40,Flop
Chasers (1994),2.2,5,Flop
Chasing Amy (1997),3.8390501319261214,379,Overhyped
Children of the Corn: The Gathering (1996),1.3157894736842106,19,Flop
Children of the Revolution (1996),3.2,5,Flop
Chinatown (1974),4.136054421768708,147,Blockbuster
"Christmas Carol, A (1938)",4.057971014492754,69,Hidden Gem
Chungking Express (1994),3.5714285714285716,28,Flop
"Ciao, Professore! (1993)",2.75,4,Flop
Cinderella (1950),3.5813953488372094,129,Overhyped
Cinema Paradiso (1988),4.1735537190082646,121,Blockbuster
Circle of Friends (1995),3.486842105263158,76,Flop
Citizen Kane (1941),4.292929292929293,198,Blockbuster
Citizen Ruth (1996),3.6222222222222222,45,Flop
City Hall (1996),3.1392405063291138,79,Flop
City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,44,Flop
City of Angels (1998),3.0,8,Flop
City of Industry (1997),2.5,6,Flop
"City of Lost Children, The (1995)",3.7916666666666665,96,Flop
Clean Slate (1994),2.8,10,Flop
Clean Slate (Coup de Torchon) (1981),2.75,4,Flop
Clear and Present Danger (1994),3.569832402234637,179,Overhyped
Clerks (1994),3.804054054054054,148,Overhyped
"Client, The (1994)",3.381443298969072,97,Flop
Cliffhanger (1993),3.021505376344086,93,Flop
Clockers (1995),3.0,33,Flop
"Clockwork Orange, A (1971)",3.909502262443439,221,Overhyped
"Close Shave, A (1995)",4.491071428571429,112,Blockbuster
Clueless (1995),3.458823529411765,170,Overhyped
Cobb (1994),2.8,15,Flop
Cold Comfort Farm (1995),3.824,125,Overhyped
Coldblooded (1995),2.0,1,Flop
"Collectionneuse, La (1967)",2.0,2,Flop
"Colonel Chabert, Le (1994)",3.5,4,Flop
Color of Night (1994),2.7333333333333334,15,Flop
Commandments (1997),2.6666666666666665,3,Flop
Con Air (1997),3.45985401459854,137,Overhyped
Conan the Barbarian (1981),3.046728971962617,107,Overhyped
Condition Red (1995),2.0,2,Flop
Coneheads (1993),2.2195121951219514,41,Flop
Congo (1995),2.4523809523809526,42,Flop
Conspiracy Theory (1997),3.4237288135593222,295,Overhyped
Contact (1997),3.8035363457760316,509,Overhyped
"Contempt (Mépris, Le) (1963)",3.0,9,Flop
"Convent, The (Convento, O) (1995)",2.5,2,Flop
"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,82,Flop
Cool Hand Luke (1967),3.9939024390243905,164,Overhyped
Cool Runnings (1993),3.161764705882353,68,Flop
Cop Land (1997),3.3771428571428572,175,Overhyped
Cops and Robbersons (1994),2.3076923076923075,13,Flop
Copycat (1995),3.302325581395349,86,Flop
"Corrina, Corrina (1994)",3.1538461538461537,39,Flop
Cosi (1996),4.0,4,Hidden Gem
Country Life (1994),1.5,2,Flop
Courage Under Fire (1996),3.6108597285067874,221,Overhyped
"Cowboy Way, The (1994)",2.210526315789474,19,Flop
"Craft, The (1996)",3.1153846153846154,104,Overhyped
Crash (1996),2.546875,128,Overhyped
Crimson Tide (1995),3.6298701298701297,154,Overhyped
Critical Care (1997),3.090909090909091,11,Flop
Cronos (1992),3.2,10,Flop
Crooklyn (1994),3.5,10,Flop
Crossfire (1947),4.25,4,Hidden Gem
"Crossing Guard, The (1995)",3.0,28,Flop
"Crow, The (1994)",3.417910447761194,134,Overhyped
"Crow: City of Angels, The (1996)",1.9487179487179487,39,Flop
Crows and Sparrows (1949),1.5,2,Flop
"Crucible, The (1996)",3.3376623376623376,77,Flop
"Crude Oasis, The (1995)",1.0,1,Flop
Crumb (1994),3.7901234567901234,81,Flop
"Cry, the Beloved Country (1995)",3.75,24,Flop
"Crying Game, The (1992)",3.6218487394957983,119,Overhyped
Curdled (1996),2.75,8,Flop
"Cure, The (1995)",3.3333333333333335,6,Flop
Cutthroat Island (1995),2.4444444444444446,18,Flop
Cyclo (1995),3.0,1,Flop
Cyrano de Bergerac (1990),3.8181818181818183,66,Flop
"Cérémonie, La (1995)",4.0,3,Hidden Gem
D3: The Mighty Ducks (1996),2.5789473684210527,19,Flop
Dadetown (1995),3.0,1,Flop
Daens (1992),1.0,1,Flop
"Damsel in Distress, A (1937)",4.0,1,Hidden Gem
Dances with Wolves (1990),3.79296875,256,Overhyped
Dangerous Beauty (1998),3.769230769230769,13,Flop
Dangerous Ground (1997),1.75,8,Flop
Dangerous Minds (1995),3.3404255319148937,47,Flop
Daniel Defoe's Robinson Crusoe (1996),3.0,2,Flop
Dante's Peak (1997),2.933333333333333,240,Overhyped
Dark City (1998),3.5,16,Flop
Dave (1993),3.65,180,Overhyped
"Davy Crockett, King of the Wild Frontier (1955)",2.909090909090909,11,Flop
"Day the Earth Stood Still, The (1951)",3.9381443298969074,97,Flop
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,2,Flop
Daylight (1996),2.7719298245614037,57,Flop
Days of Thunder (1990),2.7169811320754715,53,Flop
"Daytrippers, The (1996)",3.6666666666666665,15,Flop
Dazed and Confused (1993),3.46875,64,Flop
Dead Man (1995),3.823529411764706,34,Flop
Dead Man Walking (1995),3.8963210702341136,299,Overhyped
Dead Poets Society (1989),3.9163346613545817,251,Overhyped
Dead Presidents (1995),2.7222222222222223,18,Flop
Dear God (1996),2.5,12,Flop
Death and the Maiden (1994),3.4285714285714284,28,Flop
Death in Brunswick (1991),4.0,1,Hidden Gem
"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,1,Flop
Deceiver (1997),2.8275862068965516,29,Flop
Deconstructing Harry (1997),3.4,65,Flop
Deep Rising (1998),2.4285714285714284,14,Flop
"Deer Hunter, The (1978)",3.8333333333333335,120,Overhyped
Delicatessen (1991),3.876923076923077,65,Flop
Delta of Venus (1994),3.0,2,Flop
Demolition Man (1993),3.152173913043478,92,Flop
Denise Calls Up (1995),3.0,7,Flop
Desert Winds (1995),4.0,1,Hidden Gem
"Designated Mourner, The (1997)",1.8571428571428572,7,Flop
Desperado (1995),3.4536082474226806,97,Flop
Desperate Measures (1998),3.3194444444444446,72,Flop
Destiny Turns on the Radio (1995),3.0,2,Flop
Devil in a Blue Dress (1995),3.3859649122807016,57,Flop
"Devil's Advocate, The (1997)",3.515957446808511,188,Overhyped
"Devil's Own, The (1997)",3.1083333333333334,240,Overhyped
Diabolique (1996),2.887323943661972,71,Flop
Dial M for Murder (1954),4.0,68,Hidden Gem
Die Hard (1988),3.8724279835390947,243,Overhyped
Die Hard 2 (1990),3.355421686746988,166,Overhyped
Die Hard: With a Vengeance (1995),3.2847682119205297,151,Overhyped
"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871,31,Flop
Dingo (1992),2.4,5,Flop
Dirty Dancing (1987),3.1020408163265305,98,Flop
Disclosure (1994),3.0,40,Flop
Diva (1981),3.727272727272727,66,Flop
Dolores Claiborne (1994),3.3417721518987342,79,Flop
Don Juan DeMarco (1995),3.5526315789473686,76,Flop
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7714285714285714,35,Flop
Donnie Brasco (1997),3.802721088435374,147,Overhyped
"Doom Generation, The (1995)",2.7142857142857144,7,Flop
"Doors, The (1991)",2.9782608695652173,46,Flop
Double Happiness (1994),3.4285714285714284,7,Flop
Double Team (1997),2.230769230769231,13,Flop
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817,22,Flop
Down Periscope (1996),2.702970297029703,101,Overhyped
Down by Law (1986),3.7714285714285714,35,Flop
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629,194,Blockbuster
Dracula: Dead and Loving It (1995),2.28,25,Flop
Dragonheart (1996),3.0822784810126582,158,Overhyped
Dream Man (1995),1.5,2,Flop
Dream With the Fishes (1997),3.142857142857143,7,Flop
Drop Dead Fred (1991),2.75,24,Flop
Drop Zone (1994),2.5483870967741935,31,Flop
Drunks (1995),2.8,5,Flop
Duck Soup (1933),4.0,93,Hidden Gem
Dumb & Dumber (1994),3.0,69,Flop
Dumbo (1941),3.4959349593495936,123,Overhyped
Dunston Checks In (1996),1.8571428571428572,7,Flop
Duoluo tianshi (1995),3.1666666666666665,6,Flop
E.T. the Extra-Terrestrial (1982),3.8333333333333335,300,Overhyped
East of Eden (1955),3.864406779661017,59,Flop
Eat Drink Man Woman (1994),4.05,80,Hidden Gem
Ed (1996),1.3333333333333333,6,Flop
Ed Wood (1994),3.601503759398496,133,Overhyped
Ed's Next Move (1996),2.6666666666666665,3,Flop
Eddie (1996),2.7,40,Flop
"Edge, The (1997)",3.5398230088495577,113,Overhyped
"Eighth Day, The (1996)",3.0,1,Flop
Emma (1996),3.7175141242937855,177,Overhyped
"Empire Strikes Back, The (1980)",4.204359673024523,367,Blockbuster
Enchanted April (1991),3.9285714285714284,70,Flop
"Endless Summer 2, The (1994)",2.5,10,Flop
"Enfer, L' (1994)",3.0,4,Flop
"English Patient, The (1996)",3.656964656964657,481,Overhyped
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,32,Flop
Entertaining Angels: The Dorothy Day Story (1996),5.0,1,Hidden Gem
Eraser (1996),3.150485436893204,206,Overhyped
Escape from L.A. (1996),2.4615384615384617,91,Flop
Escape from New York (1981),3.241758241758242,91,Flop
Escape to Witch Mountain (1975),2.966666666666667,30,Flop
Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0,1,Flop
Eve's Bayou (1997),3.609375,64,Flop
Even Cowgirls Get the Blues (1993),2.0,5,Flop
"Evening Star, The (1996)",2.9310344827586206,29,Flop
Event Horizon (1997),2.574803149606299,127,Overhyped
Everest (1998),4.5,2,Hidden Gem
Every Other Weekend (1990),1.0,1,Flop
Everyone Says I Love You (1996),3.2738095238095237,168,Overhyped
Evil Dead II (1987),3.5168539325842696,89,Flop
Evita (1996),2.9806949806949805,259,Overhyped
Excess Baggage (1997),2.5384615384615383,52,Flop
Executive Decision (1996),3.356687898089172,157,Overhyped
Exit to Eden (1994),2.75,16,Flop
Exotica (1994),3.5555555555555554,27,Flop
Extreme Measures (1996),3.171875,64,Flop
Eye for an Eye (1996),3.03125,32,Flop
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1,Flop
Face/Off (1997),3.768041237113402,194,Overhyped
Faces (1968),3.0,4,Flop
Fair Game (1995),2.1818181818181817,11,Flop
FairyTale: A True Story (1997),2.966666666666667,30,Flop
Faithful (1996),3.3,10,Flop
Fall (1997),2.0,3,Flop
Fallen (1998),3.1463414634146343,41,Flop
Falling in Love Again (1980),1.0,2,Flop
"Family Thing, A (1996)",3.5555555555555554,45,Flop
"Fan, The (1996)",3.09375,64,Flop
Fantasia (1940),3.7701149425287355,174,Overhyped
Far From Home: The Adventures of Yellow Dog (1995),3.2857142857142856,7,Flop
Farewell My Concubine (1993),3.9782608695652173,46,Flop
"Farewell to Arms, A (1932)",3.8333333333333335,12,Flop
Fargo (1996),4.155511811023622,508,Blockbuster
Farinelli: il castrato (1994),3.1176470588235294,17,Flop
Farmer & Chase (1995),4.0,1,Hidden Gem
"Fast, Cheap & Out of Control (1997)",3.4375,32,Flop
Faster Pussycat! Kill! Kill! (1965),3.0,7,Flop
Fatal Instinct (1993),2.6315789473684212,19,Flop
Father of the Bride (1950),3.5833333333333335,60,Flop
Father of the Bride Part II (1995),2.8984375,128,Overhyped
Fathers' Day (1997),2.5806451612903225,31,Flop
Faust (1994),4.2,5,Hidden Gem
Fausto (1993),3.0,3,Flop
"Favor, The (1994)",2.0,1,Flop
Fear (1996),3.159090909090909,44,Flop
Fear of a Black Hat (1993),3.2,10,Flop
"Fear, The (1995)",3.0,1,Flop
Fearless (1993),3.24,25,Flop
Feast of July (1995),2.4,5,Flop
Feeling Minnesota (1996),2.625,32,Flop
Female Perversions (1996),2.625,8,Flop
Field of Dreams (1989),3.69811320754717,212,Overhyped
Fierce Creatures (1997),3.1145833333333335,96,Flop
"Fifth Element, The (1997)",3.4771573604060912,197,Overhyped
"Fille seule, La (A Single Girl) (1995)",4.0,4,Hidden Gem
Fire Down Below (1997),2.9318181818181817,44,Flop
Fire on the Mountain (1996),3.0,1,Flop
Firestorm (1998),2.8333333333333335,18,Flop
"Firm, The (1993)",3.2781456953642385,151,Overhyped
First Kid (1996),2.925,40,Flop
First Knight (1995),3.0232558139534884,86,Flop
"First Wives Club, The (1996)",3.01875,160,Overhyped
"Fish Called Wanda, A (1988)",3.785425101214575,247,Overhyped
Fled (1996),2.6470588235294117,34,Flop
Flesh and Bone (1993),2.8333333333333335,6,Flop
"Flintstones, The (1994)",2.064516129032258,31,Flop
Flipper (1996),2.45,20,Flop
Flirt (1995),3.6,5,Flop
Flirting With Disaster (1996),3.6904761904761907,42,Flop
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.1666666666666665,6,Flop
Flubber (1997),2.7547169811320753,53,Flop
